,Posts,Channel,Views_03/03,Views_03/12,view_delta
72,"Yalew Anley (Tyger) - Jobiraw | ጆቢራው - New Ethiopian Music 2021 by ADMAS MUSIC 9 months ago 4 minutes, 46 seconds 4,149 views",Admas Music,4149,4171,22
73,"Yalew Anley (Tyger) - Ethio Eritrea | ኢትዮ ኤርትራ - New Ethiopian Music 2021 by ADMAS MUSIC 9 months ago 4 minutes, 4 seconds 6,064 views",Admas Music,6064,6090,26
74,"Yalew Anley (Tyger) - Yene Akalat | የኔ አከላት - New Ethiopian Music 2021 by ADMAS MUSIC 9 months ago 4 minutes, 42 seconds 9,914 views",Admas Music,9914,9995,81
75,"Yalew Anley (Tyger) - Fitawerari | ፊታውራሪ - New Ethiopian Music 2021 by ADMAS MUSIC 9 months ago 5 minutes, 42 seconds 8,539 views",Admas Music,8539,8606,67
76,"Rodas Workiye (Rodiyano) - Hela Hola (Official Video) | Ethiopian Music by ADMAS MUSIC 9 months ago 5 minutes, 41 seconds 18,614 views",Admas Music,18614,18726,112
77,"Tesfalidet Simon - Adiena (Remix) | Eritrean Music by ADMAS MUSIC 9 months ago 4 minutes, 23 seconds 60,331 views",Admas Music,60331,60989,658
78,"Nahom Teshale  - Aytichekiniley (Official Video) | Eritrean Music by ADMAS MUSIC 9 months ago 5 minutes, 57 seconds 22,300 views",Admas Music,22300,22389,89
79,"Mewded Kibru - Dagu (Official Video) | Ethiopian Music by ADMAS MUSIC 9 months ago 5 minutes, 1 second 19,734 views",Admas Music,19734,19941,207
80,"Teame Weldemichael - Kemey Aleki (Official Audio) | Eritrean Music by ADMAS MUSIC 9 months ago 5 minutes, 43 seconds 55,615 views",Admas Music,55615,55838,223
81,"Embeba Shishay - Fanusey (Official Video) | Eritrean Music by ADMAS MUSIC 10 months ago 5 minutes, 7 seconds 86,184 views",Admas Music,86184,86365,181
82,"Merhawi Haile - Kemaki Yelen (Official Video) | Eritrean Music by ADMAS MUSIC 10 months ago 5 minutes, 39 seconds 78,670 views",Admas Music,78670,78913,243
83,"Noh Simon - Kinirakeb Ena (Official Video) | Eritrean Music by ADMAS MUSIC 10 months ago 4 minutes, 43 seconds 14,383 views",Admas Music,14383,14458,75
84,"Getu Tasew - Awawale (Official Video) | Ethiopian Music by ADMAS MUSIC 10 months ago 5 minutes, 42 seconds 7,163 views",Admas Music,7163,7225,62
85,"Tewodros Kassahun - Amert (Official Video) | Ethiopian Music by ADMAS MUSIC 10 months ago 5 minutes, 44 seconds 16,777 views",Admas Music,16777,17102,325
86,"Bereket Hailemichael - Sur Hade Libi (Official Video) | Eritrean Music by ADMAS MUSIC 10 months ago 6 minutes, 30 seconds 109,859 views",Admas Music,109859,109954,95
87,"Hadgu Aradom - Telam (Official Video) | Eritrean Music by ADMAS MUSIC 10 months ago 4 minutes, 19 seconds 13,732 views",Admas Music,13732,13785,53
88,"Mengisteab Gebregergish - Deki Erey (Official Video) | Eritrean Music by ADMAS MUSIC 10 months ago 6 minutes, 28 seconds 163,184 views",Admas Music,163184,163459,275
89,"Temesgen Bazigar - Entay Teazibka (Official Video) | Eritrean Music by ADMAS MUSIC 10 months ago 5 minutes, 38 seconds 282,361 views",Admas Music,282361,282670,309
90,"Merkeb Bonitua - Gujimjim (Official Video) | Tigray Music by ADMAS MUSIC 10 months ago 5 minutes, 31 seconds 1,519,540 views",Admas Music,1519540,1527763,8223
91,"Seare Debesay - Gudam | ጉዳም - New Eritrean Music 2021 by ADMAS MUSIC 11 months ago 5 minutes, 33 seconds 814,261 views",Admas Music,814261,828192,13931
92,"Veronica Solomon - Tesfa Aleni (Official Video) | Eritrean Music by ADMAS MUSIC 11 months ago 5 minutes, 18 seconds 17,838 views",Admas Music,17838,17922,84
93,"Znabu Kiros - Kidikiro (Official Video) | Tigray Music by ADMAS MUSIC 11 months ago 3 minutes, 59 seconds 38,710 views",Admas Music,38710,38787,77
94,"Daniel Gilay - Lbona Fikri (Official Video) | Eritrean Music by ADMAS MUSIC 11 months ago 5 minutes, 5 seconds 27,667 views",Admas Music,27667,27723,56
95,"Berhe Amare - Kihdet (Official Video) | Ethiopian Tigrigna Music by ADMAS MUSIC 1 year ago 5 minutes, 26 seconds 75,360 views",Admas Music,75360,75530,170
96,"Asmerom Abraham - Kidiyo (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 5 minutes, 49 seconds 47,375 views",Admas Music,47375,47414,39
97,"Frezer Kenaw (Babi) - Welo Mejen (Official Video) - Ethiopian Music by ADMAS MUSIC 1 year ago 6 minutes, 14 seconds 3,750,629 views",Admas Music,3750629,3864497,113868
98,"Teddy K - Kedamawit (Official Video) | Ethiopian Music by ADMAS MUSIC 1 year ago 4 minutes, 6 seconds 9,625 views",Admas Music,9625,9674,49
99,"Filmon Kesete - Qendey (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 5 minutes, 6 seconds 20,572 views",Admas Music,20572,20603,31
100,"Filmon Michael - Nhder (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 4 minutes, 28 seconds 10,561 views",Admas Music,10561,10577,16
101,"Buze Man (Buzayehu Kifle) - Anleyayim (Official Video) | Ethiopian Music by ADMAS MUSIC 1 year ago 4 minutes, 8 seconds 175,407 views",Admas Music,175407,176538,1131
102,"Hermon Tesfalidet - Nieruna'yu (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 4 minutes, 44 seconds 32,221 views",Admas Music,32221,32273,52
103,"Rezene Teame - Meteazazebi (Official Audio) | Ethiopian Tigrigna Music by ADMAS MUSIC 1 year ago 4 minutes, 30 seconds 61,738 views",Admas Music,61738,61884,146
104,"Samuel Elias - Abelo ti Feqri (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 4 minutes, 58 seconds 43,379 views",Admas Music,43379,43438,59
105,"Kaleab Ghebremariam - Afqire (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 4 minutes, 9 seconds 23,180 views",Admas Music,23180,23235,55
106,"Thomas Ghebrehiwet - Kidi (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 5 minutes, 1 second 97,357 views",Admas Music,97357,97416,59
107,"Alex Kaleab - Lela Agegnew (Official Video) | Ethiopian Music by ADMAS MUSIC 1 year ago 4 minutes, 18 seconds 21,666 views",Admas Music,21666,21721,55
108,"Sem Oqbakader - Tezarebi | ተዛረቢ (Official Video) - Eritrean Music by ADMAS MUSIC 1 year ago 4 minutes, 41 seconds 20,673 views",Admas Music,20673,20706,33
109,"SEWI - Endeza New | እንደዛ ነው (Official Video) - Ethiopian Music by ADMAS MUSIC 1 year ago 4 minutes, 1 second 18,135 views",Admas Music,18135,18195,60
110,"Simon Goitom - Brey | ብረይ (Official Video) - Eritrean Music by ADMAS MUSIC 1 year ago 4 minutes, 46 seconds 26,848 views",Admas Music,26848,26905,57
111,"Rahel Atakilti - Zeyteblechlich Werqi | ዘይተብለጭልጭ ወርቂ (Official Video) - Eritrean Music by ADMAS MUSIC 1 year ago 3 minutes, 52 seconds 36,897 views",Admas Music,36897,36965,68
112,"Awet Habtegergish - Zeytxbitey | ዘይትጽቢተይ (Official Video) - Eritrean Music by ADMAS MUSIC 1 year ago 5 minutes, 8 seconds 23,287 views",Admas Music,23287,23388,101
113,"Abdi Jemal - SIDAAMITI FAAYYA | ሲዳሚቲ ፋያ - Ethiopian Music by ADMAS MUSIC 1 year ago 5 minutes, 40 seconds 43,255 views",Admas Music,43255,44367,1112
114,"Daniel Zewdu - Hunelegn Dehna (Official Video) | Ethiopian Music | ሁኝልኝ ደህና በ ዳንኤል ዘውዱ by ADMAS MUSIC 1 year ago 4 minutes, 43 seconds 76,056 views",Admas Music,76056,77266,1210
115,"Dawit Kesete - Selsela (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 4 minutes, 36 seconds 33,904 views",Admas Music,33904,33935,31
116,"Yohanna Ghirmai - Telam Aykonkun (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 6 minutes, 10 seconds 73,766 views",Admas Music,73766,73843,77
117,"Welday Measho - Wereki Semie (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 5 minutes, 17 seconds 44,738 views",Admas Music,44738,44779,41
118,"Winta Berhane - Amel (Official Video) | Ethiopian Tigrigna Music by ADMAS MUSIC 1 year ago 4 minutes, 27 seconds 1,735,741 views",Admas Music,1735741,1744259,8518
119,"Adam Major - Mesiluwa (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 8 minutes, 36 seconds 99,527 views",Admas Music,99527,99619,92
120,"Isaias Beyene - Gizena (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 6 minutes, 4 seconds 106,869 views",Admas Music,106869,106896,27
121,"Petros Russom - Welelo (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 5 minutes, 40 seconds 45,770 views",Admas Music,45770,45831,61
122,"Filmon Tesfay - Tedebise'ye (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 4 minutes, 33 seconds 37,013 views",Admas Music,37013,37063,50
123,"Mekonen Tadis - Welelay (Official Video) | Ethiopian Tigrigna Music by ADMAS MUSIC 1 year ago 5 minutes, 20 seconds 22,625 views",Admas Music,22625,22666,41
124,"Fortuna Yihdego - Muqur Qanza (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 4 minutes, 41 seconds 49,498 views",Admas Music,49498,49598,100
125,"Robel Gebrehannes - Met'ayitey (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 5 minutes, 49 seconds 153,778 views",Admas Music,153778,153818,40
126,"Tamrat Amare - Zemene 'Tay (Official Video) | Ethiopian Tigrigna Music by ADMAS MUSIC 1 year ago 4 minutes, 5 seconds 35,610 views",Admas Music,35610,35660,50
127,"Bahta Kiros - Nbeyney (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 6 minutes, 22 seconds 52,365 views",Admas Music,52365,52410,45
128,"Robel Okbay - Be Lomi Aytemariri (Official Music) | Eritrean Music by ADMAS MUSIC 1 year ago 4 minutes, 36 seconds 79,183 views",Admas Music,79183,79212,29
129,"Biniam Negasi - Nay Edki Rkebi (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 4 minutes, 39 seconds 116,521 views",Admas Music,116521,116601,80
130,"Teame Weldemichael - Zihisheni Do Tefiuni (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 5 minutes, 19 seconds 391,110 views",Admas Music,391110,391480,370
131,"Ephrem Amare - RORA (Official Video) | Ethiopian Tigrigna Music by ADMAS MUSIC 1 year ago 5 minutes, 15 seconds 9,147,651 views",Admas Music,9147651,9209906,62255
132,"Filmon Solomon - Samru (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 5 minutes, 57 seconds 146,814 views",Admas Music,146814,146885,71
133,"Kibrom Tekleweyni - Ati Birey (Official Video) | Ethiopian Tigrigna Music by ADMAS MUSIC 1 year ago 5 minutes, 12 seconds 51,483 views",Admas Music,51483,51525,42
134,"DELYEYA - YONI T TAP x HELTON TEWOLD x ALU WALIKE x ANGAMAN (Official Music Video) by ADMAS MUSIC 1 year ago 3 minutes, 49 seconds 20,615 views",Admas Music,20615,20637,22
135,"Teame Adhanom - Teteasi (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 6 minutes, 10 seconds 109,909 views",Admas Music,109909,109964,55
136,"Hanibal Gebrezgi - Tebelatsit (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 5 minutes, 23 seconds 17,675 views",Admas Music,17675,17700,25
137,"African Ali - Fyorina (Official Video) | Ethiopian Tigrigna and Afar Music by ADMAS MUSIC 1 year ago 4 minutes, 38 seconds 77,304 views",Admas Music,77304,77596,292
138,"Samuel Negash - Bkidan Kidibes (Official Music) | Eritrean Music by ADMAS MUSIC 1 year ago 5 minutes, 50 seconds 24,843 views",Admas Music,24843,24863,20
139,"Tesfay Beyene - Awideya (Official Video) | Ethiopian Tigrigna Music by ADMAS MUSIC 1 year ago 4 minutes, 21 seconds 21,431 views",Admas Music,21431,21495,64
140,"Asgedom Tewelde - Welfi Gieruley (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 5 minutes, 4 seconds 29,231 views",Admas Music,29231,29262,31
141,"Aron Tadesse - Nafikot (Official Video) | Eritrean Music by ADMAS MUSIC 1 year ago 6 minutes, 29 seconds 20,539 views",Admas Music,20539,20566,27
